,Unnamed: 0,Location,Year,Distance (in meters),Stroke,Gender,Team,Athlete,Results,Rank
451,1028,Athens,2004,100m,Butterfly,Men,RUS,Igor Marchenko,52.32,4
452,1029,Athens,2004,100m,Butterfly,Men,BRA,Gabriel Mangabeira,52.34,4
453,1030,Athens,2004,100m,Butterfly,Men,CRO,Duje Draganja,52.46,4
454,1031,Athens,2004,100m,Butterfly,Men,AUS,Geoffrey Huegill,52.56,4
455,1032,Athens,2004,100m,Butterfly,Women,AUS,Petria Thomas,57.72,1
456,1033,Athens,2004,100m,Butterfly,Women,POL,Otylia Jedrzejczak,57.84,2
457,1034,Athens,2004,100m,Butterfly,Women,NED,Inge De Bruijn,57.99,3
458,1035,Athens,2004,100m,Butterfly,Women,AUS,Jessicah Schipper,58.22,4
459,1036,Athens,2004,100m,Butterfly,Women,USA,Jenny Thompson,58.72,4
460,1037,Athens,2004,100m,Butterfly,Women,SVK,Martina Moravcova,58.96,4
461,1038,Athens,2004,100m,Butterfly,Women,BLR,Alena Popchanka,59.06,4
462,1039,Athens,2004,100m,Butterfly,Women,JPN,Junko Onishi,59.83,4
463,1040,Athens,2004,100m,Freestyle,Men,NED,Pieter Van Den Hoogenband,48.17,1
464,1041,Athens,2004,100m,Freestyle,Men,RSA,Roland Schoeman,48.23,2
465,1042,Athens,2004,100m,Freestyle,Men,AUS,Ian Thorpe,48.56,3
466,1043,Athens,2004,100m,Freestyle,Men,RSA,Ryk Neethling,48.63,4
467,1044,Athens,2004,100m,Freestyle,Men,ITA,Filippo Magnini,48.99,4
468,1045,Athens,2004,100m,Freestyle,Men,CRO,Duje Draganja,49.23,4
469,1046,Athens,2004,100m,Freestyle,Men,ALG,Salim Iles,49.3,4
470,1047,Athens,2004,100m,Freestyle,Men,RUS,Andrey Kapralov,49.3,4
471,1048,Athens,2004,100m,Freestyle,Women,AUS,Jodie Henry,53.84,1
472,1049,Athens,2004,100m,Freestyle,Women,NED,Inge De Bruijn,54.16,2
473,1050,Athens,2004,100m,Freestyle,Women,USA,Natalie Coughlin,54.4,3
474,1051,Athens,2004,100m,Freestyle,Women,FRA,Malia Metella,54.5,4
475,1052,Athens,2004,100m,Freestyle,Women,USA,Kara Lynn Joyce,54.54,4
476,1053,Athens,2004,100m,Freestyle,Women,GRE,Nery Mantey Niangkouara,54.81,4
477,1054,Athens,2004,100m,Freestyle,Women,SVK,Martina Moravcova,55.12,4
478,1055,Athens,2004,100m,Freestyle,Women,BLR,Alena Popchanka,55.24,4
481,1224,Athens,2004,50m,Freestyle,Men,USA,"Gary Hall, Jr.",21.93,1
482,1225,Athens,2004,50m,Freestyle,Men,CRO,Duje Draganja,21.94,2
483,1226,Athens,2004,50m,Freestyle,Men,RSA,Roland Schoeman,22.02,3
484,1227,Athens,2004,50m,Freestyle,Men,SWE,Stefan Nystrand,22.08,4
485,1228,Athens,2004,50m,Freestyle,Men,USA,Jason Lezak,22.11,4
486,1229,Athens,2004,50m,Freestyle,Men,AUS,Brett Hawke,22.18,4
487,1230,Athens,2004,50m,Freestyle,Men,UKR,Oleksandr Volynets,22.26,4
488,1231,Athens,2004,50m,Freestyle,Men,ALG,Salim Iles,22.37,4
489,1232,Athens,2004,50m,Freestyle,Women,NED,Inge De Bruijn,24.58,1
490,1233,Athens,2004,50m,Freestyle,Women,FRA,Malia Metella,24.89,2
491,1234,Athens,2004,50m,Freestyle,Women,AUS,Libby Trickett,24.91,3
492,1235,Athens,2004,50m,Freestyle,Women,SWE,Therese Alshammar,24.93,4
493,1236,Athens,2004,50m,Freestyle,Women,USA,Kara Lynn Joyce,25.0,4
494,1237,Athens,2004,50m,Freestyle,Women,AUS,Michelle Engelsman,25.06,4
495,1238,Athens,2004,50m,Freestyle,Women,USA,Jenny Thompson,25.11,4
496,1239,Athens,2004,50m,Freestyle,Women,BRA,Flavia Cazziolato,25.2,4
497,1248,Sydney,2000,100m,Backstroke,Men,USA,Lenny Krayzelburg,53.72,1
498,1249,Sydney,2000,100m,Backstroke,Men,AUS,Matthew Welsh,54.07,2
499,1250,Sydney,2000,100m,Backstroke,Men,GER,Stev Theloke,54.82,3
500,1251,Sydney,2000,100m,Backstroke,Men,AUS,Josh Watson,55.01,4
501,1252,Sydney,2000,100m,Backstroke,Men,POL,Bartosz Kizierowski,55.04,4
502,1253,Sydney,2000,100m,Backstroke,Men,USA,Neil Walker,55.14,4
503,1254,Sydney,2000,100m,Backstroke,Men,GER,Steffen Driesen,55.27,4
504,1255,Sydney,2000,100m,Backstroke,Men,ISR,Eithan Urbach,55.74,4
505,1280,Sydney,2000,100m,Butterfly,Men,SWE,Lars Frolander,52.0,1
506,1281,Sydney,2000,100m,Butterfly,Men,AUS,Michael Klim,52.18,2
507,1282,Sydney,2000,100m,Butterfly,Men,AUS,Geoffrey Huegill,52.22,3
508,1283,Sydney,2000,100m,Butterfly,Men,USA,Ian Crocker,52.44,4
509,1284,Sydney,2000,100m,Butterfly,Men,JPN,Takashi Yamamoto,52.58,4
510,1285,Sydney,2000,100m,Butterfly,Men,CAN,Michael Mintenko,52.58,4
511,1286,Sydney,2000,100m,Butterfly,Men,GER,Thomas Rupprath,53.13,4
512,1287,Sydney,2000,100m,Butterfly,Men,RUS,Anatoly Polyakov,53.13,4
513,1288,Sydney,2000,100m,Butterfly,Women,NED,Inge De Bruijn,56.61,1
514,1289,Sydney,2000,100m,Butterfly,Women,SVK,Martina Moravcova,57.97,2
515,1290,Sydney,2000,100m,Butterfly,Women,USA,Dara Torres,58.2,3
516,1291,Sydney,2000,100m,Butterfly,Women,AUS,Petria Thomas,58.49,4
517,1292,Sydney,2000,100m,Butterfly,Women,USA,Jenny Thompson,58.73,4
518,1293,Sydney,2000,100m,Butterfly,Women,JPN,Junko Onishi,59.13,4
519,1294,Sydney,2000,100m,Butterfly,Women,AUS,Susan O'Neill,59.27,4
520,1295,Sydney,2000,100m,Butterfly,Women,ROU,Diana Mocanu,59.43,4
521,1296,Sydney,2000,100m,Freestyle,Men,NED,Pieter Van Den Hoogenband,48.3,1
522,1297,Sydney,2000,100m,Freestyle,Men,RUS,Alexander Popov,48.69,2
523,1298,Sydney,2000,100m,Freestyle,Men,USA,"Gary Hall, Jr.",48.73,3
524,1299,Sydney,2000,100m,Freestyle,Men,AUS,Michael Klim,48.74,4
525,1300,Sydney,2000,100m,Freestyle,Men,USA,Neil Walker,49.09,4
526,1301,Sydney,2000,100m,Freestyle,Men,SWE,Lars Frolander,49.22,4
527,1302,Sydney,2000,100m,Freestyle,Men,RUS,Denis Pimankov,49.36,4
528,1303,Sydney,2000,100m,Freestyle,Men,AUS,Christopher John Fydler,49.44,4
529,1304,Sydney,2000,100m,Freestyle,Women,NED,Inge De Bruijn,53.83,1
530,1305,Sydney,2000,100m,Freestyle,Women,SWE,Therese Alshammar,54.33,2
531,1306,Sydney,2000,100m,Freestyle,Women,USA,Jenny Thompson,54.43,3
532,1307,Sydney,2000,100m,Freestyle,Women,USA,Dara Torres,54.43,3
533,1308,Sydney,2000,100m,Freestyle,Women,SVK,Martina Moravcova,54.72,4
534,1309,Sydney,2000,100m,Freestyle,Women,RSA,Helene Muller,55.19,4
535,1310,Sydney,2000,100m,Freestyle,Women,JPN,Sumika Minamoto,55.53,4
536,1311,Sydney,2000,100m,Freestyle,Women,NED,Wilma Van Rijn,55.58,4
538,1480,Sydney,2000,50m,Freestyle,Men,USA,"Gary Hall, Jr.",21.98,1
539,1481,Sydney,2000,50m,Freestyle,Men,USA,Anthony Ervin,21.98,1
540,1482,Sydney,2000,50m,Freestyle,Men,NED,Pieter Van Den Hoogenband,22.03,3
541,1483,Sydney,2000,50m,Freestyle,Men,ITA,Lorenzo Vismara,22.11,4
542,1484,Sydney,2000,50m,Freestyle,Men,POL,Bartosz Kizierowski,22.22,4
543,1485,Sydney,2000,50m,Freestyle,Men,RUS,Alexander Popov,22.24,4
544,1486,Sydney,2000,50m,Freestyle,Men,GBR,Mark Andrew Foster,22.41,4
545,1487,Sydney,2000,50m,Freestyle,Men,UKR,Oleksandr Volynets,22.51,4
546,1488,Sydney,2000,50m,Freestyle,Women,NED,Inge De Bruijn,24.32,1
547,1489,Sydney,2000,50m,Freestyle,Women,SWE,Therese Alshammar,24.51,2
548,1490,Sydney,2000,50m,Freestyle,Women,USA,Dara Torres,24.63,3
549,1491,Sydney,2000,50m,Freestyle,Women,USA,Amy Van Dyken,25.04,4
550,1492,Sydney,2000,50m,Freestyle,Women,SVK,Martina Moravcova,25.24,4
551,1493,Sydney,2000,50m,Freestyle,Women,GER,Sandra Voelker,25.27,4
552,1494,Sydney,2000,50m,Freestyle,Women,GBR,Alison Sheppard,25.45,4
553,1495,Sydney,2000,50m,Freestyle,Women,JPN,Sumika Minamoto,25.65,4
554,1504,Atlanta,1996,100m,Backstroke,Men,USA,Jeff Norman Rouse,54.1,1
555,1505,Atlanta,1996,100m,Backstroke,Men,CUB,Rodolfo Falcon Cabrera,54.98,2
556,1506,Atlanta,1996,100m,Backstroke,Men,CUB,Neisser Bent,55.02,3
557,1507,Atlanta,1996,100m,Backstroke,Men,ESP,Martin Lopez Zubero,55.22,4
558,1508,Atlanta,1996,100m,Backstroke,Men,USA,Tripp Schwenk,55.3,4
559,1509,Atlanta,1996,100m,Backstroke,Men,ITA,Emanuele Merisi,55.53,4
560,1510,Atlanta,1996,100m,Backstroke,Men,GER,Ralf Braun,55.56,4
561,1511,Atlanta,1996,100m,Backstroke,Men,FRA,Franck Schott,55.76,4
562,1536,Atlanta,1996,100m,Butterfly,Men,RUS,Denis Pankratov,52.27,1
563,1537,Atlanta,1996,100m,Butterfly,Men,AUS,Scott Miller,52.53,2
564,1538,Atlanta,1996,100m,Butterfly,Men,RUS,Vladislav Kulikov,53.13,3
565,1539,Atlanta,1996,100m,Butterfly,Men,CHN,Chengji Jiang,53.2,4
566,1540,Atlanta,1996,100m,Butterfly,Men,POL,Rafal Szukala,53.29,4
567,1541,Atlanta,1996,100m,Butterfly,Men,AUS,Michael Klim,53.3,4
568,1542,Atlanta,1996,100m,Butterfly,Men,CAN,Stephen Clarke,53.33,4
569,1543,Atlanta,1996,100m,Butterfly,Men,UKR,Pavlo Khnykin,53.58,4
570,1544,Atlanta,1996,100m,Butterfly,Women,USA,Amy Van Dyken,59.13,4
571,1545,Atlanta,1996,100m,Butterfly,Women,CHN,Limin Liu,59.14,4
572,1546,Atlanta,1996,100m,Butterfly,Women,USA,Angel Martino,59.23,4
573,1552,Atlanta,1996,100m,Freestyle,Men,RUS,Alexander Popov,48.74,1
574,1553,Atlanta,1996,100m,Freestyle,Men,USA,"Gary Hall, Jr.",48.81,2
575,1554,Atlanta,1996,100m,Freestyle,Men,BRA,Gustavo Borges,49.02,3
576,1555,Atlanta,1996,100m,Freestyle,Men,NED,Pieter Van Den Hoogenband,49.13,4
577,1556,Atlanta,1996,100m,Freestyle,Men,BRA,Fernando Scherer,49.57,4
578,1557,Atlanta,1996,100m,Freestyle,Men,UKR,Pavlo Khnykin,49.65,4
579,1558,Atlanta,1996,100m,Freestyle,Men,PUR,Ricardo Busquets Healy,49.68,4
580,1559,Atlanta,1996,100m,Freestyle,Men,VEN,Francisco Sanchez,49.84,4
581,1560,Atlanta,1996,100m,Freestyle,Women,CHN,Jingyi Le,54.5,1
582,1561,Atlanta,1996,100m,Freestyle,Women,GER,Sandra Voelker,54.88,2
583,1562,Atlanta,1996,100m,Freestyle,Women,USA,Angel Martino,54.93,3
584,1563,Atlanta,1996,100m,Freestyle,Women,USA,Amy Van Dyken,55.11,4
